sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2,Genome PTR,Ori/Ter PTR,OD600, Notes,CFU/ml,Sample ID,qPCR_PTR,TimePoint(Hrs),dlog(CFUml) /dt,log10 CFU/ml,dlog(CFUml) /dt log,dlog(OD) /dt
HM86_LB2-T_O-N,HM86,LB2,0,a,HM86_LB2-T_O-N_R1.fastq.gz,HM86_LB2-T_O-N_R2.fastq.gz,1.046206,1.445131,0.053,LB_Rep2,3.20E+07,8399-SP-21,1,0,2.48E-01,7.505149978,1.42E-02,0.730188452
HM86_LB2-T1a,HM86,LB2,T1a,a,HM86_LB2-T1a_R1.fastq.gz,HM86_LB2-T1a_R2.fastq.gz,1.847941,2.053204,0.11,LB_Rep2,4.10E+07,8399-SP-22,2.726512,1,-5.27E-01,7.612783857,-3.03E-02,1.689394157
HM86_LB2-T1b,HM86,LB2,T1b,b,HM86_LB2-T1b_R1.fastq.gz,HM86_LB2-T1b_R2.fastq.gz,1.622802,2.188452,0.256,LB_Rep2,3.15E+07,8399-SP-23,2.684094,1.5,9.24E-01,7.498310554,5.28E-02,1.983028306
HM86_LB2-T2a,HM86,LB2,T2a,a,HM86_LB2-T2a_R1.fastq.gz,HM86_LB2-T2a_R2.fastq.gz,1.57078,1.990697,0.69,LB_Rep2,5.00E+07,8399-SP-24,2.226697,2,3.18E+00,7.698970004,1.72E-01,1.156155702
HM86_LB2-T2b,HM86,LB2,T2b,b,HM86_LB2-T2b_R1.fastq.gz,HM86_LB2-T2b_R2.fastq.gz,1.537796,1.71887,1.23,LB_Rep2,2.45E+08,8399-SP-25,2.01227,2.5,2.09E+00,8.389166084,1.05E-01,0.982241105
HM86_LB2-T3a,HM86,LB2,T3a,a,HM86_LB2-T3a_R1.fastq.gz,HM86_LB2-T3a_R2.fastq.gz,1.504473,1.757682,2.01,LB_Rep2,6.95E+08,8399-SP-26,1.78578,3,2.99E+00,8.841984805,1.42E-01,0.69133866
HM86_LB2-T3b,HM86,LB2,T3b,b,HM86_LB2-T3b_R1.fastq.gz,HM86_LB2-T3b_R2.fastq.gz,1.29868,1.469465,2.84,LB_Rep2,3.10E+09,8399-SP-27,1.536281,3.5,4.07E-01,9.491361694,1.85E-02,0.423623971
HM86_LB2-T4,HM86,LB2,T4,a,HM86_LB2-T4_R1.fastq.gz,HM86_LB2-T4_R2.fastq.gz,1.241241,1.638879,3.51,LB_Rep2,3.80E+09,8399-SP-28,1.439564,4,3.79E-01,9.579783597,1.70E-02,0.248461359
HM86_LB2-T5,HM86,LB2,T5,a,HM86_LB2-T5_R1.fastq.gz,HM86_LB2-T5_R2.fastq.gz,1.109035,1.396031,4.5,LB_Rep2,5.55E+09,8399-SP-29,1.098932,5,1.35E-01,9.744292983,5.98E-03,0.178610977
HM86_LB2-T6,HM86,LB2,T6,a,HM86_LB2-T6_R1.fastq.gz,HM86_LB2-T6_R2.fastq.gz,1.076303,1.158851,5.38,LB_Rep2,6.35E+09,8399-SP-30,1.054696,6,,9.802773725,,
HM86_LB3-T_O-N,HM86,LB3,0,a,HM86_LB3-T_O-N_R1.fastq.gz,HM86_LB3-T_O-N_R2.fastq.gz,1.05187,1.238899,0.052,LB_Rep3,3.60E+07,8399-SP-41,1.000096,0,,7.556302501,1.02E-02,1.148622709
HM86_LB3-T1a,HM86,LB3,T1a,a,HM86_LB3-T1a_R1.fastq.gz,HM86_LB3-T1a_R2.fastq.gz,1.468836,1.900924,0.164,LB_Rep3,4.30E+07,8399-SP-42,2.107693,1,-1.63E+00,7.633468456,-9.52E-02,1.398452453
HM86_LB3-T1b,HM86,LB3,T1b,b,HM86_LB3-T1b_R1.fastq.gz,HM86_LB3-T1b_R2.fastq.gz,1.581947,1.896788,0.33,LB_Rep3,1.90E+07,8399-SP-43,2.45894,1.5,3.51E+00,7.278753601,1.99E-01,1.615115063
HM86_LB3-T2a,HM86,LB3,T2a,a,HM86_LB3-T2a_R1.fastq.gz,HM86_LB3-T2a_R2.fastq.gz,1.43165,1.672607,0.74,LB_Rep3,1.10E+08,8399-SP-44,1.986995,2,2.17E+00,8.041392685,1.14E-01,1.591602669
HM86_LB3-T2b,HM86,LB3,T2b,b,HM86_LB3-T2b_R1.fastq.gz,HM86_LB3-T2b_R2.fastq.gz,1.381476,1.654863,1.64,LB_Rep3,3.25E+08,8399-SP-45,1.786211,2.5,3.19E+00,8.511883361,1.56E-01,0.761544991
HM86_LB3-T3a,HM86,LB3,T3a,a,HM86_LB3-T3a_R1.fastq.gz,HM86_LB3-T3a_R2.fastq.gz,1.319381,1.683682,2.4,LB_Rep3,1.60E+09,8399-SP-46,1.661598,3,1.15E+00,9.204119983,5.38E-02,0.392229758
HM86_LB3-T3b,HM86,LB3,T3b,b,HM86_LB3-T3b_R1.fastq.gz,HM86_LB3-T3b_R2.fastq.gz,1.235798,1.514822,2.92,LB_Rep3,2.85E+09,8399-SP-47,1.419815,3.5,-2.22E-01,9.45484486,-1.02E-02,0.29849261
HM86_LB3-T4,HM86,LB3,T4,a,HM86_LB3-T4_R1.fastq.gz,HM86_LB3-T4_R2.fastq.gz,1.18637,1.524464,3.39,LB_Rep3,2.55E+09,8399-SP-48,1.270381,4,5.68E-01,9.40654018,2.59E-02,0.303050103
HM86_LB3-T5,HM86,LB3,T5,a,HM86_LB3-T5_R1.fastq.gz,HM86_LB3-T5_R2.fastq.gz,1.099214,1.283201,4.59,LB_Rep3,4.50E+09,8399-SP-49,1.108836,5,1.82E-01,9.653212514,8.17E-03,0.036367644
HM86_LB3-T6,HM86,LB3,T6,a,HM86_LB3-T6_R1.fastq.gz,HM86_LB3-T6_R2.fastq.gz,1.079235,1.231905,4.76,LB_Rep3,5.40E+09,8399-SP-50,1.006101,6,,9.73239376,,
HM86_M9Glu1-_O-N,HM86,M9Glu1,0,a,HM86_M9Glu1-_O-N_R1.fastq.gz,HM86_M9Glu1-_O-N_R2.fastq.gz,1.122953,1.3651,0.027,M9_Rep1,3.40E+07,8399-SP-82,1.000207,0,1.78E-01,7.531478917,1.01E-02,0.444352953
HM86_M9Glu1-2.5h,HM86,M9Glu1,2.5h,a,HM86_M9Glu1-2.5h_R1.fastq.gz,HM86_M9Glu1-2.5h_R2.fastq.gz,1.143933,1.096356,0.082,M9_Rep1,5.30E+07,8399-SP-83,0.878128,2.5,6.35E-01,7.72427587,3.51E-02,0.699226227
HM86_M9Glu1-3.5h,HM86,M9Glu1,3.5h,a,HM86_M9Glu1-3.5h_R1.fastq.gz,HM86_M9Glu1-3.5h_R2.fastq.gz,1.200565,1.34226,0.165,M9_Rep1,1.00E+08,8399-SP-84,0.899202,3.5,1.06E+00,8,5.68E-02,1.04335128
HM86_M9Glu1-4h,HM86,M9Glu1,4h,a,HM86_M9Glu1-4h_R1.fastq.gz,HM86_M9Glu1-4h_R2.fastq.gz,1.173085,1.206702,0.278,M9_Rep1,1.70E+08,8399-SP-85,0.874437,4,6.33E-01,8.230448921,3.28E-02,0.802098364
HM86_M9Glu1-5h,HM86,M9Glu1,5h,a,HM86_M9Glu1-5h_R1.fastq.gz,HM86_M9Glu1-5h_R2.fastq.gz,1.244596,1.344874,0.62,M9_Rep1,3.20E+08,8399-SP-86,1.112817,5,9.53E-01,8.505149978,4.75E-02,0.517256514
HM86_M9Glu1-6h,HM86,M9Glu1,6h,a,HM86_M9Glu1-6h_R1.fastq.gz,HM86_M9Glu1-6h_R2.fastq.gz,1.280611,1.449943,1.04,M9_Rep1,8.30E+08,8399-SP-87,1.138602,6,6.56E-01,8.919078092,3.15E-02,0.352821375
HM86_M9Glu1-7h,HM86,M9Glu1,7h,a,HM86_M9Glu1-7h_R1.fastq.gz,HM86_M9Glu1-7h_R2.fastq.gz,1.145879,1.303297,1.48,M9_Rep1,1.60E+09,8399-SP-88,0.99288,7,6.61E-01,9.204119983,3.07E-02,-0.172906558
HM86_M9Glu1-8h,HM86,M9Glu1,8h,a,HM86_M9Glu1-8h_R1.fastq.gz,HM86_M9Glu1-8h_R2.fastq.gz,1.139219,1.334694,1.245,M9_Rep1,3.10E+09,8399-SP-89,0.955009,8,,9.491361694,,
HM86_TB1-T_O-N,HM86,TB1,0,a,HM86_TB1-T_O-N_R1.fastq.gz,HM86_TB1-T_O-N_R2.fastq.gz,1.106649,1.353744,0.139,TB_Rep1,5.70E+07,8399-SP-11,1,0,1.15E+00,7.755874856,6.24E-02,1.086549416
