sample_id,sample_name,Condition,TimePoint,Replicate,illumina_r1,illumina_r2
HM86_LB3-T5,HM86,LB3,T5,a,HM86_LB3-T5_R1.fastq.gz,HM86_LB3-T5_R2.fastq.gz
HM86_LB3-T6,HM86,LB3,T6,a,HM86_LB3-T6_R1.fastq.gz,HM86_LB3-T6_R2.fastq.gz
HM86_LB3-T_O-N,HM86,LB3,T_O-N,a,HM86_LB3-T_O-N_R1.fastq.gz,HM86_LB3-T_O-N_R2.fastq.gz
HM86_M9Glu1-2.5h,HM86,M9Glu1,2.5h,a,HM86_M9Glu1-2.5h_R1.fastq.gz,HM86_M9Glu1-2.5h_R2.fastq.gz
HM86_M9Glu1-3.5h,HM86,M9Glu1,3.5h,a,HM86_M9Glu1-3.5h_R1.fastq.gz,HM86_M9Glu1-3.5h_R2.fastq.gz
HM86_M9Glu1-4h,HM86,M9Glu1,4h,a,HM86_M9Glu1-4h_R1.fastq.gz,HM86_M9Glu1-4h_R2.fastq.gz
HM86_M9Glu1-5h,HM86,M9Glu1,5h,a,HM86_M9Glu1-5h_R1.fastq.gz,HM86_M9Glu1-5h_R2.fastq.gz
HM86_M9Glu1-6h,HM86,M9Glu1,6h,a,HM86_M9Glu1-6h_R1.fastq.gz,HM86_M9Glu1-6h_R2.fastq.gz
HM86_M9Glu1-7h,HM86,M9Glu1,7h,a,HM86_M9Glu1-7h_R1.fastq.gz,HM86_M9Glu1-7h_R2.fastq.gz
HM86_M9Glu1-8h,HM86,M9Glu1,8h,a,HM86_M9Glu1-8h_R1.fastq.gz,HM86_M9Glu1-8h_R2.fastq.gz
HM86_M9Glu1-_O-N,HM86,M9Glu1,T_O-N,a,HM86_M9Glu1-_O-N_R1.fastq.gz,HM86_M9Glu1-_O-N_R2.fastq.gz
HM86_TB1-T1a,HM86,TB1,T1a,a,HM86_TB1-T1a_R1.fastq.gz,HM86_TB1-T1a_R2.fastq.gz
HM86_TB1-T1b,HM86,TB1,T1b,b,HM86_TB1-T1b_R1.fastq.gz,HM86_TB1-T1b_R2.fastq.gz
HM86_TB1-T2a,HM86,TB1,T2a,a,HM86_TB1-T2a_R1.fastq.gz,HM86_TB1-T2a_R2.fastq.gz
HM86_TB1-T2b,HM86,TB1,T2b,b,HM86_TB1-T2b_R1.fastq.gz,HM86_TB1-T2b_R2.fastq.gz
HM86_TB1-T3a,HM86,TB1,T3a,a,HM86_TB1-T3a_R1.fastq.gz,HM86_TB1-T3a_R2.fastq.gz
HM86_TB1-T3b,HM86,TB1,T3b,b,HM86_TB1-T3b_R1.fastq.gz,HM86_TB1-T3b_R2.fastq.gz
HM86_TB1-T4,HM86,TB1,T4,a,HM86_TB1-T4_R1.fastq.gz,HM86_TB1-T4_R2.fastq.gz
HM86_TB1-T5,HM86,TB1,T5,a,HM86_TB1-T5_R1.fastq.gz,HM86_TB1-T5_R2.fastq.gz
HM86_TB1-T6,HM86,TB1,T6,a,HM86_TB1-T6_R1.fastq.gz,HM86_TB1-T6_R2.fastq.gz
HM86_TB1-T_O-N,HM86,TB1,T_O-N,a,HM86_TB1-T_O-N_R1.fastq.gz,HM86_TB1-T_O-N_R2.fastq.gz
HM86_TB2-T1a,HM86,TB2,T1a,a,HM86_TB2-T1a_R1.fastq.gz,HM86_TB2-T1a_R2.fastq.gz
HM86_TB2-T1b,HM86,TB2,T1b,b,HM86_TB2-T1b_R1.fastq.gz,HM86_TB2-T1b_R2.fastq.gz
HM86_TB2-T2a,HM86,TB2,T2a,a,HM86_TB2-T2a_R1.fastq.gz,HM86_TB2-T2a_R2.fastq.gz
HM86_TB2-T2b,HM86,TB2,T2b,b,HM86_TB2-T2b_R1.fastq.gz,HM86_TB2-T2b_R2.fastq.gz
HM86_TB2-T3a,HM86,TB2,T3a,a,HM86_TB2-T3a_R1.fastq.gz,HM86_TB2-T3a_R2.fastq.gz
HM86_TB2-T3b,HM86,TB2,T3b,b,HM86_TB2-T3b_R1.fastq.gz,HM86_TB2-T3b_R2.fastq.gz
HM86_TB2-T4,HM86,TB2,T4,a,HM86_TB2-T4_R1.fastq.gz,HM86_TB2-T4_R2.fastq.gz
HM86_TB2-T5,HM86,TB2,T5,a,HM86_TB2-T5_R1.fastq.gz,HM86_TB2-T5_R2.fastq.gz
HM86_TB2-T6,HM86,TB2,T6,a,HM86_TB2-T6_R1.fastq.gz,HM86_TB2-T6_R2.fastq.gz
HM86_TB2-T_O-N,HM86,TB2,T_O-N,a,HM86_TB2-T_O-N_R1.fastq.gz,HM86_TB2-T_O-N_R2.fastq.gz
HM86_TB3-T1a,HM86,TB3,T1a,a,HM86_TB3-T1a_R1.fastq.gz,HM86_TB3-T1a_R2.fastq.gz
HM86_TB3-T1b,HM86,TB3,T1b,b,HM86_TB3-T1b_R1.fastq.gz,HM86_TB3-T1b_R2.fastq.gz
HM86_TB3-T2a,HM86,TB3,T2a,a,HM86_TB3-T2a_R1.fastq.gz,HM86_TB3-T2a_R2.fastq.gz
HM86_TB3-T2b,HM86,TB3,T2b,b,HM86_TB3-T2b_R1.fastq.gz,HM86_TB3-T2b_R2.fastq.gz
HM86_TB3-T3a,HM86,TB3,T3a,a,HM86_TB3-T3a_R1.fastq.gz,HM86_TB3-T3a_R2.fastq.gz
HM86_TB3-T3b,HM86,TB3,T3b,b,HM86_TB3-T3b_R1.fastq.gz,HM86_TB3-T3b_R2.fastq.gz
HM86_TB3-T4,HM86,TB3,T4,a,HM86_TB3-T4_R1.fastq.gz,HM86_TB3-T4_R2.fastq.gz
HM86_TB3-T5,HM86,TB3,T5,a,HM86_TB3-T5_R1.fastq.gz,HM86_TB3-T5_R2.fastq.gz
HM86_TB3-T6,HM86,TB3,T6,a,HM86_TB3-T6_R1.fastq.gz,HM86_TB3-T6_R2.fastq.gz
